gamma,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,LPIPS_mean,LPIPS_std
0.020000,20.5850,2.1775,0.5890,0.0858,0.2630,0.0726
0.023870,20.6878,2.1802,0.6010,0.0831,0.2503,0.0701
0.028489,20.7261,2.2063,0.6138,0.0810,0.2379,0.0680
0.034003,20.6495,2.3883,0.6266,0.0769,0.2244,0.0649
0.040582,20.8930,2.2844,0.6494,0.0718,0.1999,0.0601
0.048436,20.8751,2.2795,0.6675,0.0673,0.1831,0.0529
0.057809,20.8948,2.2604,0.6893,0.0600,0.1610,0.0442
0.068995,20.8071,2.1921,0.7082,0.0500,0.1409,0.0385
0.082347,20.8644,2.2963,0.7265,0.0461,0.1282,0.0363
0.098282,20.4731,2.3988,0.7224,0.0569,0.1396,0.0702
0.117301,20.4363,2.2378,0.7388,0.0341,0.1274,0.0397
0.140000,20.1347,2.2314,0.7335,0.0322,0.1383,0.0454
