gamma,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,LPIPS_mean,LPIPS_std
0.010000,20.5332,1.6093,0.4639,0.0979,0.3591,0.0863
0.022222,19.3149,1.4052,0.3045,0.0550,0.5345,0.0776
0.034444,18.8750,1.2989,0.2595,0.0685,0.6007,0.0648
0.046667,18.2665,1.2250,0.2196,0.0610,0.6559,0.0786
0.058889,17.2134,1.7976,0.1823,0.0562,0.7031,0.0924
0.071111,17.0234,1.1580,0.1660,0.0376,0.7330,0.0966
0.083333,16.5248,1.0654,0.1486,0.0400,0.7644,0.0780
0.095556,16.3679,0.9604,0.1404,0.0316,0.7765,0.0712
0.107778,16.0451,1.0820,0.1316,0.0337,0.7563,0.0420
0.120000,15.5280,1.3406,0.1177,0.0304,0.7633,0.0773
