gamma,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,LPIPS_mean,LPIPS_std
0.010000,18.7586,1.5704,0.4051,0.0877,0.4004,0.0891
0.022222,18.4902,1.3193,0.3455,0.0865,0.4712,0.1039
0.034444,18.0694,1.4875,0.2751,0.0716,0.5893,0.0908
0.046667,17.6174,1.6902,0.2427,0.0573,0.6465,0.1107
0.058889,17.1917,1.1913,0.2027,0.0411,0.7083,0.1104
0.071111,16.6427,1.5717,0.1860,0.0708,0.7457,0.1285
0.083333,16.6066,1.6043,0.1691,0.0453,0.7264,0.1282
0.095556,15.8255,1.1963,0.1387,0.0314,0.8044,0.1151
0.107778,16.0097,1.2535,0.1414,0.0436,0.8148,0.1402
0.120000,15.4402,1.4025,0.1246,0.0490,0.8319,0.1132
