eta,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,LPIPS_mean,LPIPS_std
0.000100,15.0539,4.3719,0.2135,0.2043,0.7868,0.2665
0.000303,14.0280,1.5002,0.1634,0.0850,0.8486,0.1745
0.000920,13.9607,2.0033,0.1523,0.0848,0.8508,0.1516
0.002791,14.9792,2.3639,0.2022,0.1220,0.8060,0.2119
0.008465,16.2975,3.9551,0.2328,0.1899,0.7869,0.2281
0.025678,21.1821,4.5688,0.4376,0.2194,0.5224,0.2809
0.077888,nan,nan,nan,nan,nan,nan
0.236256,nan,nan,nan,nan,nan,nan
0.716629,nan,nan,nan,nan,nan,nan
2.173734,nan,nan,nan,nan,nan,nan
6.593533,nan,nan,nan,nan,nan,nan
20.000000,nan,nan,nan,nan,nan,nan
