gamma,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,LPIPS_mean,LPIPS_std
0.000100,21.2348,4.0281,0.5468,0.1953,0.3747,0.1564
0.000267,21.2508,4.0755,0.5489,0.1981,0.3726,0.1575
0.000715,21.2018,4.0483,0.5447,0.1971,0.3764,0.1584
0.001912,21.0077,3.8813,0.5318,0.1897,0.3906,0.1504
0.005113,21.2825,3.9057,0.5383,0.1873,0.3855,0.1473
0.013674,21.8572,3.8602,0.5675,0.1863,0.3549,0.1535
0.036566,22.2938,3.5430,0.5755,0.1763,0.3371,0.1530
0.097781,22.0972,2.5284,0.5277,0.1241,0.3603,0.1090
0.261477,20.4011,1.9219,0.3825,0.0831,0.5050,0.0717
0.699217,18.5333,1.5303,0.2689,0.0521,0.5924,0.0460
1.869782,17.5590,1.4609,0.2602,0.0650,0.6410,0.0512
5.000000,14.5300,1.1304,0.1365,0.0464,0.7524,0.0676
