eta,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,LPIPS_mean,LPIPS_std
0.500000,23.7255,2.5706,0.6157,0.1212,0.3036,0.1299
0.537155,23.8264,2.6970,0.6229,0.1308,0.2963,0.1328
0.577070,23.2750,2.9098,0.5969,0.1455,0.3192,0.1406
0.619952,23.2025,3.1970,0.6061,0.1602,0.3058,0.1473
0.666020,22.5500,3.4034,0.5782,0.1673,0.3324,0.1492
0.715512,22.3925,3.6426,0.5811,0.1790,0.3295,0.1550
0.768681,21.2894,4.1777,0.5326,0.2083,0.3740,0.1653
0.825801,21.3975,3.7499,0.5505,0.1876,0.3588,0.1572
0.887166,20.6404,3.8681,0.5117,0.1903,0.3878,0.1560
0.953090,20.2072,3.8677,0.4911,0.1982,0.4073,0.1601
1.023914,20.2602,3.7788,0.5064,0.1975,0.3980,0.1577
1.100000,20.2591,3.7309,0.5163,0.1946,0.3925,0.1514
