eta,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,LPIPS_mean,LPIPS_std
0.000100,16.7881,2.4942,0.6320,0.0535,0.2154,0.0651
0.000303,17.4175,2.8632,0.6200,0.1239,0.2163,0.1261
0.000920,18.0957,2.3113,0.6498,0.0592,0.2038,0.0693
0.002791,18.1099,2.3029,0.6498,0.0485,0.1884,0.0593
0.008465,18.1464,2.1126,0.6723,0.0511,0.1944,0.0667
0.025678,20.0836,2.4729,0.7204,0.0508,0.1464,0.0476
0.077888,21.0345,2.2114,0.7279,0.0290,0.1344,0.0496
0.236256,18.1223,3.0168,0.5945,0.0939,0.2796,0.1249
0.716629,nan,nan,nan,nan,nan,nan
2.173734,nan,nan,nan,nan,nan,nan
6.593533,nan,nan,nan,nan,nan,nan
20.000000,nan,nan,nan,nan,nan,nan
