gamma,PSNR_mean,PSNR_std,SSIM_mean,SSIM_std,LPIPS_mean,LPIPS_std
0.010000,24.3266,1.7889,0.6407,0.0772,0.2663,0.0691
0.011769,24.6227,1.7873,0.6537,0.0757,0.2508,0.0641
0.013851,24.7634,1.8110,0.6593,0.0746,0.2446,0.0638
0.016301,24.9001,1.8303,0.6668,0.0746,0.2412,0.0607
0.019185,25.1715,1.8535,0.6770,0.0747,0.2327,0.0606
0.022579,25.4068,1.8914,0.6859,0.0743,0.2255,0.0593
0.026573,25.7336,1.9278,0.6979,0.0744,0.2169,0.0594
0.031274,25.9581,1.9577,0.7074,0.0743,0.2113,0.0588
0.036807,26.2579,2.0107,0.7167,0.0765,0.2017,0.0578
0.043318,26.4608,2.2320,0.7238,0.0862,0.2010,0.0760
0.050981,26.8576,2.0945,0.7372,0.0794,0.1861,0.0622
0.060000,26.8851,2.3397,0.7341,0.0928,0.1937,0.0848
